Date,temp
20150117 08:00:00,29
20150117 08:30:00,29
20150117 09:00:00,30
20150117 09:30:00,29
20150117 10:00:00,28
20150117 10:30:00,28
20150117 11:00:00,27
20150117 11:30:00,26
20150117 12:00:00,26
20150117 12:30:00,25
20150117 13:00:00,25
20150117 13:30:00,25
20150117 14:00:00,24
20150117 14:30:00,24
20150117 15:00:00,24
20150117 15:30:00,23
20150117 16:00:00,23
20150117 16:30:00,23
20150117 17:00:00,23
20150117 17:30:00,22
20150117 18:00:00,23
20150117 18:30:00,22
20150117 19:30:00,21
20150117 20:00:00,21
20150117 20:30:00,21
20150117 21:00:00,21
20150117 21:30:00,21
20150117 22:00:00,21
20150117 22:30:00,20
20150117 23:00:00,20
20150117 23:30:00,20
20150118 00:00:00,21
20150118 00:30:00,22
20150118 01:00:00,24
20150118 01:30:00,26
20150118 02:00:00,27
20150118 02:30:00,28
20150118 03:00:00,28
20150118 03:30:00,28
20150118 04:00:00,30
20150118 04:30:00,29
20150118 05:00:00,30
20150118 05:30:00,30
20150118 06:00:00,30
20150118 06:30:00,31
20150118 07:00:00,31
20150118 07:30:00,31
20150118 08:00:00,30
20150118 08:30:00,29
20150118 09:00:00,29
20150118 09:30:00,29
20150118 10:00:00,29
20150118 10:30:00,28
20150118 11:00:00,28
20150118 11:30:00,27
20150118 12:00:00,27
20150118 12:30:00,27
20150118 13:00:00,26
20150118 13:30:00,26
20150118 14:00:00,26
20150118 14:30:00,26
20150118 15:00:00,26
20150118 15:30:00,26
20150118 16:00:00,25
20150118 16:30:00,25
20150118 17:00:00,25
20150118 17:30:00,25
20150118 18:00:00,25
20150118 18:30:00,25
20150118 19:00:00,24
20150118 19:30:00,25
20150118 20:00:00,24
20150118 20:30:00,24
20150118 21:00:00,24
20150118 21:30:00,24
20150118 22:00:00,24
20150118 22:30:00,23
20150118 23:00:00,23
20150118 23:30:00,23
20150119 00:00:00,23
20150119 00:30:00,24
20150119 01:00:00,25
20150119 01:30:00,26
20150119 02:00:00,26
20150119 02:30:00,27
20150119 03:00:00,27
20150119 03:30:00,27
20150119 04:00:00,28
20150119 04:30:00,28
20150119 05:00:00,28
20150119 05:30:00,29
20150119 06:00:00,29
20150119 06:30:00,29
20150119 07:00:00,29
20150119 07:30:00,29
20150119 08:00:00,30
20150119 08:30:00,29
20150119 09:00:00,29
20150119 09:30:00,29
20150119 10:00:00,29
20150119 10:30:00,28
20150119 11:30:00,27
20150119 12:00:00,26
20150119 12:30:00,26
20150119 13:00:00,25
20150119 13:30:00,24
20150119 14:00:00,24
20150119 14:30:00,24
20150119 15:00:00,25
20150119 15:30:00,24
20150119 16:00:00,24
20150119 16:30:00,23
20150119 17:00:00,23
20150119 17:30:00,23
20150119 18:00:00,23
20150119 18:30:00,23
20150119 19:00:00,22
20150119 19:30:00,22
20150119 20:00:00,22
20150119 20:30:00,23
20150119 21:00:00,23
20150119 21:30:00,22
20150119 22:00:00,22
20150119 22:30:00,22
20150119 23:00:00,22
20150119 23:30:00,22
20150120 00:00:00,22
20150120 00:30:00,23
20150120 01:00:00,25
20150120 01:30:00,26
20150120 02:00:00,27
20150120 02:30:00,28
20150120 03:00:00,28
20150120 03:30:00,28
20150120 04:00:00,29
20150120 04:30:00,30
20150120 05:00:00,30
20150120 05:30:00,30
20150120 06:00:00,30
20150120 06:30:00,31
20150120 07:00:00,30
20150120 07:30:00,30
20150120 08:00:00,30
20150120 08:30:00,30
20150120 09:00:00,30
20150120 09:30:00,29
20150120 10:00:00,29
20150120 10:30:00,29
20150120 11:00:00,28
20150120 12:00:00,26
20150120 12:30:00,26
20150120 13:00:00,26
20150120 13:30:00,26
20150120 14:00:00,25
20150120 14:30:00,25
20150120 15:00:00,25
20150120 15:30:00,25
20150120 16:00:00,24
20150120 16:30:00,24
20150120 17:00:00,23
20150120 17:30:00,23
20150120 18:00:00,23
20150120 18:30:00,22
20150120 19:00:00,22
20150120 19:30:00,22
20150120 20:00:00,22
20150120 20:30:00,22
20150120 21:00:00,22
20150120 21:30:00,22
20150120 22:00:00,22
20150120 22:30:00,22
20150120 23:00:00,22
20150120 23:30:00,22
20150121 00:00:00,22
20150121 00:30:00,23
20150121 01:00:00,24
20150121 01:30:00,25
20150121 02:00:00,27
